"","WT.Mock.1","WT.Mock.2","WT.Mock.3","WT.IAV.1","WT.IAV.2","WT.IAV.3","KO.Mock.1","KO.Mock.2","KO.Mock.3","KO.IAV.1","KO.IAV.2","KO.IAV.3"
"TC11002767.hg.1",6.26733914250465,6.21470279834184,6.30589449209869,6.54615174918112,6.37907092112724,6.2129763429611,5.99932428881893,6.35353086014278,5.91903401719119,6.01447516866577,6.17807181364753,6.46187355310976
"TC12000424.hg.1",11.3845200888518,11.4141855866274,11.4349744961091,11.3413049862165,11.4127972577141,11.5320897596019,11.912013782031,11.8747781249265,11.9723432067634,11.9709735594134,12.0156613414982,11.937852001592
"TC10001094.hg.1",6.03349469179658,6.16700321735186,6.28115110232861,5.94137749736151,6.04191815196305,6.08675849253877,6.191161103614,6.28658233062069,6.33989202127903,6.46490983830144,6.61716114731052,6.34009713933889
"TC11003502.hg.1",7.21560640895172,7.30808064269864,7.18443636864199,7.40188803110444,7.31227385592425,6.936680311284,7.04522639493978,7.24795850263699,6.79977955828845,7.01804528411098,6.79195854626465,7.16801575522278
"TC11000047.hg.1",7.26318232883124,7.33603379138973,7.10351642485044,7.25358364871727,7.29238897196812,7.03015997344509,6.87296589625953,7.09630771789611,6.88565015264252,6.84479342686164,7.02339822732732,7.06541809715622
"TC11000619.hg.1",6.16548251970817,5.98345399661131,5.97962449232642,6.23300653308872,6.15890002584869,5.84102292865219,5.9840940966035,6.06596881237628,5.71385618839096,5.78552949724979,5.79582589305686,5.86926079406293
"TC11002083.hg.1",5.10507179089697,5.29946891618205,5.03164501610164,4.70563820125862,4.65478757494844,5.07107984601516,5.18206036261795,5.19574577086923,5.20934600697262,5.08922295434176,4.90093917855648,4.78272757666237
"TC12000818.hg.1",7.32549997975178,7.58171834102883,7.6329555546702,7.38813016473854,7.43395760593677,7.77805207676917,6.33890294607641,6.24286127927023,6.61291177838209,6.57865268419572,6.44685230011125,6.32099653819193
"TC12000888.hg.1",7.03199497631718,7.1685155140563,7.0625490392528,7.16047862119924,7.13554606373382,6.96919835291661,7.05345892959477,7.1012911820278,6.82415625648465,6.79603628073988,6.81744866716779,7.05804861108075
"TC13000164.hg.1",6.29354656041344,6.35933497676968,6.23086517509613,6.39398214255101,6.37722156985738,6.17815190349117,6.31587363973889,6.28907347421158,5.99374214387672,6.0110296753255,6.02681694861288,6.20101791739432
